,Name,Product_price,Discount,Sale_price,Shop,Brand,Warranty,Warranty_way,Warranty_place,Sold,Rate,Comment,5,4,3,2,1,m_link
32,Chuột không dây máy tính Kit - Dell Laser Wired Mouse MS3220 SnP - Hàng Chính Hãng,450.0,0,450.0,Máy tính Lanh Dung,Dell,12.0,Tem bảo hành,Bảo hành chính hãng,0.0,0.0,0,0,0,0,0,0,https://tiki.vn/chuot-khong-day-may-tinh-kit-dell-laser-wired-mouse-ms3220-snp-hang-chinh-hang-p66104333.html?spid=70524117
33,Chuột Máy Tính Có Dây APEDRA A8 Có LED - Hàng Chính Hãng - Giao Màu Ngẫu Nhiên,169.0,0,169.0,HOÀNG NHÂN COMPUTER,APEDRA,6.0,Tem bảo hành,Bảo hành chính hãng,19.0,4.8,8.0,6,2,0,0,0,https://tiki.vn/chuot-may-tinh-co-day-apedra-a8-co-led-hang-chinh-hang-giao-mau-ngau-nhien-p72077919.html?spid=72077920
34,Chuột máy vi tính Bosston D608 LED- Màu ngẫu nhiên - Hàng chính hãng,89.0,0.12,78.4,Công Nghệ July,Bossto,0.0,0,0,48.0,4.3,10.0,5,3,2,0,0,https://tiki.vn/chuot-may-vi-tinh-bosston-d608-led-mau-ngau-nhien-hang-chinh-hang-p34574766.html?spid=45841449
35,[Loại Tốt] Chuột Dây Máy Tính KhoNCC RFN100 Hàng Chính Hãng - Độ Nhạy Đến 1600dpi - Cổng USB Dây 1.5 mét - KLVQ-3288-RPN100,158.0,0.31,109.0,,KhoNCC,3.0,Điện tử,Bảo hành bởi nhà bán hàng thông qua Tiki,0.0,0.0,0,0,0,0,0,0,https://tiki.vn/loai-tot-chuot-day-may-tinh-khoncc-rpn100-hang-chinh-hang-do-nhay-1600dpi-cong-usb-day-1-5-met-klvq-3288-rpn100-p134844879.html?spid=134844880
36,Chuột máy tính AKKO RG325 Dragon Ball Z - GOKU - HÀNG CHÍNH HÃNG,699.0,0,699.0,Phụ Kiện Remy,AKKO,12.0,Điện tử,Bảo hành chính hãng,0.0,0.0,0,0,0,0,0,0,https://tiki.vn/chuot-may-tinh-akko-rg325-dragon-ball-z-goku-hang-chinh-hang-p111153262.html?spid=130960786
37,Chuột có dây cao cấp dành cho máy tính bảo hành - Hàng chính hãng,119.0,0,119.0,Thế giới sản phẩm,oco,1.0,Hóa đơn,Bảo hành bởi nhà bán hàng thông qua Tiki,1.0,5.0,1.0,1,0,0,0,0,https://tiki.vn/chuot-co-day-cao-cap-danh-cho-may-tinh-bao-hanh-hang-chinh-hang-p127285092.html?spid=127285093
38,Chuột máy tính có dây Newmen N500 Plus hàng chính hãng,255.0,0,255.0,AChauComputer,Newme,0.0,0,0,5.0,5.0,2.0,2,0,0,0,0,https://tiki.vn/chuot-may-tinh-co-day-newmen-n500-plus-hang-chinh-hang-p104069896.html?spid=104069898
39,Chuột Máy Vi Tính Có Dây M200 Chuột Laptop Có Dây Đèn Led,237.6,0,237.6,dienmayohno,OEM,0.0,0,0,0.0,0.0,0,0,0,0,0,0,https://tiki.vn/chuot-may-vi-tinh-co-day-m200-chuot-laptop-co-day-den-led-p118536772.html?spid=118536774
40,CHUỘT MÁY TÍNH MIXIE X2 - BÁN SỐ 1 THÁI LAN - HÀNG CHÍNH HÃNG,50.0,0,50.0,TECH 1988,MIXIE,12.0,Tem bảo hành,Bảo hành chính hãng,0.0,0.0,0,0,0,0,0,0,https://tiki.vn/chuot-may-tinh-mixie-x2-ban-so-1-thai-lan-hang-chinh-hang-p58262294.html?spid=58262295
41,Chuột máy tính có dây Assassins AM101 - Hàng chính hãng,110.0,0,110.0,Anh Trịnh LInh,Assassins,0.0,0,0,18.0,4.7,3.0,2,1,0,0,0,https://tiki.vn/chuot-may-tinh-co-day-assassins-am101-hang-chinh-hang-p20992851.html?spid=32855742
